baseline_window,cutoff_A,occupancy_tau,n,median_n_anchors,auroc,p,nested_lopo_ba
"[0,1]",4.0,0.2,42,17.0,0.7639296187683284,0.01042808929499958,0.7375366568914956
"[0,1]",5.0,0.2,42,23.0,0.721407624633431,0.031866533118209604,0.7287390029325513
"[0,5]",4.0,0.6,42,10.0,0.780058651026393,0.0064408728758428395,0.718475073313783
"[0,5]",4.5,0.6,42,15.0,0.68475073313783,0.07352440345407213,0.7082111436950147
"[0,2]",4.0,0.4,42,13.5,0.7302052785923754,0.025554228533765454,0.7052785923753666
"[0,2]",4.0,0.2,42,17.5,0.7434017595307918,0.01822220556130965,0.6994134897360704
"[0,2]",4.0,0.6,42,11.5,0.6979472140762464,0.05505902872528032,0.6891495601173021
"[0,1]",4.5,0.2,42,20.5,0.7478005865102639,0.01622108403387507,0.6803519061583577
"[0,5]",4.5,0.4,42,17.5,0.717008797653959,0.03542950993248541,0.6788856304985337
"[0,2]",4.5,0.6,42,16.0,0.7903225806451613,0.004810844100454193,0.6759530791788856
"[0,1]",4.0,0.4,42,15.0,0.6759530791788856,0.08853459571807239,0.6510263929618769
"[0,5]",5.0,0.2,42,22.0,0.6700879765395895,0.09976459259163568,0.6510263929618769
"[0,1]",4.5,0.6,42,17.0,0.7287390029325512,0.026501264225690328,0.6348973607038123
"[0,5]",5.0,0.6,42,17.5,0.6832844574780058,0.07588119575248987,0.6334310850439883
"[0,5]",5.0,0.4,42,18.5,0.6466275659824047,0.15652010146681047,0.6334310850439883
"[0,2]",4.5,0.4,42,18.0,0.7434017595307918,0.018217501463964617,0.6143695014662757
"[0,5]",4.0,0.2,42,17.0,0.6803519061583578,0.08080307225757022,0.6114369501466275
"[0,1]",5.0,0.6,42,20.0,0.686217008797654,0.07131929071613037,0.6026392961876833
"[0,2]",5.0,0.4,42,21.0,0.7580645161290323,0.012277531832851312,0.5894428152492669
"[0,1]",5.0,0.4,42,21.0,0.6950146627565982,0.05885961679097773,0.5733137829912024
"[0,2]",4.5,0.2,42,21.0,0.7346041055718475,0.022904124935425183,0.563049853372434
"[0,1]",4.5,0.4,42,19.0,0.7228739002932552,0.030695241867592753,0.5469208211143695
"[0,1]",4.0,0.6,42,12.0,0.6979472140762463,0.055049163576348134,0.533724340175953
"[0,5]",4.0,0.4,42,13.0,0.7038123167155426,0.048246007074207245,0.533724340175953
"[0,2]",5.0,0.6,42,18.5,0.6715542521994134,0.09698773862435701,0.5117302052785924
"[0,2]",5.0,0.2,42,23.0,0.7038123167155426,0.04827327806199857,0.48240469208211145
"[0,5]",4.5,0.2,42,20.0,0.6818181818181818,0.07829886709728089,0.407624633431085
