model,held_out_protein,selected_configuration,inner_grouped_auroc,outer_train_n,feature_n
endpoint_logistic,AFR1,fixed,0.820125786163522,68,2
endpoint_logistic,ATRF_ASPFU,fixed,0.8161057692307693,68,2
endpoint_logistic,CDR1_CANAR,fixed,0.8209134615384615,68,2
endpoint_logistic,CDR1_CANAR_auris,fixed,0.8231132075471699,69,2
endpoint_logistic,CDR2_CANAL,fixed,0.8042986425339367,69,2
endpoint_logistic,CIMG_00533,fixed,0.8329411764705882,67,2
endpoint_logistic,CIMG_00780,fixed,0.7861952861952862,65,2
endpoint_logistic,CIMG_01418,fixed,0.8052884615384616,68,2
endpoint_logistic,CIMG_06197,fixed,0.8197115384615384,68,2
endpoint_logistic,CIMG_09093,fixed,0.8076923076923077,69,2
endpoint_logistic,MDR1_CRYNH,fixed,0.8192513368983957,72,2
endpoint_logistic,MDR1_TRIRC,fixed,0.8062283737024222,68,2
endpoint_logistic,MDR2_TRIRC,fixed,0.8016147635524798,68,2
endpoint_logistic,PDH1_CANGA,fixed,0.8320987654320988,69,2
endpoint_logistic,PDR5_YEAST,fixed,0.8206018518518519,70,2
endpoint_logistic,SNQ2_CANGA,fixed,0.8113207547169812,69,2
temporal_logistic,AFR1,C=3.0,0.879245283018868,68,14
temporal_logistic,ATRF_ASPFU,C=0.1,0.8305288461538461,68,14
temporal_logistic,CDR1_CANAR,C=0.1,0.8425480769230769,68,14
temporal_logistic,CDR1_CANAR_auris,C=0.1,0.8349056603773585,69,14
temporal_logistic,CDR2_CANAL,C=0.03,0.8269230769230769,69,14
temporal_logistic,CIMG_00533,C=0.1,0.8541176470588235,67,14
temporal_logistic,CIMG_00780,C=0.1,0.8249158249158248,65,14
temporal_logistic,CIMG_01418,C=0.3,0.8329326923076923,68,14
temporal_logistic,CIMG_06197,C=0.1,0.8329326923076923,68,14
temporal_logistic,CIMG_09093,C=0.1,0.8269230769230769,69,14
temporal_logistic,MDR1_CRYNH,C=0.1,0.8363636363636364,72,14
temporal_logistic,MDR1_TRIRC,C=0.03,0.8131487889273357,68,14
temporal_logistic,MDR2_TRIRC,C=0.03,0.8212226066897348,68,14
temporal_logistic,PDH1_CANGA,C=0.1,0.8555555555555554,69,14
temporal_logistic,PDR5_YEAST,C=0.1,0.837962962962963,70,14
temporal_logistic,SNQ2_CANGA,C=0.3,0.8372641509433962,69,14
endpoint_spline,AFR1,"knots=3,C=0.3",0.8176100628930818,68,2
endpoint_spline,ATRF_ASPFU,"knots=3,C=0.1",0.8064903846153846,68,2
endpoint_spline,CDR1_CANAR,"knots=3,C=0.3",0.8149038461538463,68,2
endpoint_spline,CDR1_CANAR_auris,"knots=3,C=0.3",0.8136792452830188,69,2
endpoint_spline,CDR2_CANAL,"knots=3,C=0.3",0.7929864253393665,69,2
endpoint_spline,CIMG_00533,"knots=3,C=0.3",0.8247058823529412,67,2
endpoint_spline,CIMG_00780,"knots=3,C=0.1",0.7676767676767677,65,2
endpoint_spline,CIMG_01418,"knots=4,C=0.3",0.7896634615384615,68,2
endpoint_spline,CIMG_06197,"knots=3,C=0.3",0.8028846153846154,68,2
endpoint_spline,CIMG_09093,"knots=3,C=0.1",0.7986425339366515,69,2
endpoint_spline,MDR1_CRYNH,"knots=3,C=0.3",0.8042780748663101,72,2
endpoint_spline,MDR1_TRIRC,"knots=3,C=0.3",0.7946943483275662,68,2
endpoint_spline,MDR2_TRIRC,"knots=3,C=0.3",0.7866205305651672,68,2
endpoint_spline,PDH1_CANGA,"knots=3,C=0.3",0.8246913580246913,69,2
endpoint_spline,PDR5_YEAST,"knots=3,C=0.1",0.8090277777777777,70,2
endpoint_spline,SNQ2_CANGA,"knots=3,C=0.3",0.803066037735849,69,2
temporal_hist_gradient_boosting,AFR1,"leaf=2,l2=0.0",0.850943396226415,68,14
temporal_hist_gradient_boosting,ATRF_ASPFU,"leaf=3,l2=0.0",0.7403846153846153,68,14
temporal_hist_gradient_boosting,CDR1_CANAR,"leaf=5,l2=0.0",0.71875,68,14
temporal_hist_gradient_boosting,CDR1_CANAR_auris,"leaf=2,l2=0.0",0.7777122641509433,69,14
