held_out_protein,n_train,intercept,coef_T_whole_mean_3_5,coef_Theta_whole_mean_3_5,checkpoint,model,coef_T_pocket_8A_mean_3_5,coef_Theta_pocket_8A_mean_3_5,coef_T_whole_mean_8_10,coef_Theta_whole_mean_8_10,coef_T_pocket_8A_mean_8_10,coef_Theta_pocket_8A_mean_8_10,coef_T_whole_mean_18_20,coef_Theta_whole_mean_18_20,coef_T_pocket_8A_mean_18_20,coef_Theta_pocket_8A_mean_18_20
AFR1,75,-1.3073551133238164,-1.3564874182393059,-1.989120243543146,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
ATRF_ASPFU,76,-1.1020770178239523,-1.1458010126927884,-1.842186622854471,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
CDR1_CANAR,76,-1.0695631953491533,-1.204807356875976,-1.7686394333838407,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
CDR1_CANAR_auris,77,-1.2028706953869632,-1.031652428247347,-2.1454496585513336,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
CDR2_CANAL,76,-0.9498997745652329,-1.0845992763139995,-1.654969592093813,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
CIMG_00533,75,-1.0970845560772227,-1.2752634508871712,-1.8031383556955098,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
CIMG_00780,73,-1.1635739516718695,-1.294089257341095,-1.670544574918487,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
CIMG_01418,76,-1.0777500029029565,-1.3216742887793675,-1.624554976670171,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
CIMG_06197,74,-1.1676166112903505,-1.1542454109223979,-1.9962082767011498,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
CIMG_09093,76,-1.0984961946449519,-1.2746533301897982,-1.7610328795813337,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
MDR1_CRYNH,79,-1.1750325880902672,-1.2588862680614656,-1.9001440545377764,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
MDR1_TRIRC,75,-1.0784363853445498,-1.2273448623512786,-1.7910393090975936,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
MDR2_TRIRC,76,-1.0421052254638699,-1.2098451126600345,-1.7668411582023897,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
PDH1_CANGA,76,-1.2117146834445947,-1.2665542536034329,-1.8689368718593953,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
PDR5_YEAST,78,-1.175747369666145,-1.2893202338849303,-1.8691928079608662,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
SNQ2_CANGA,77,-1.1205320406832862,-1.225529006427546,-1.8155169567367644,5ns,T_whole_plus_Theta_whole,,,,,,,,,,
AFR1,75,-1.3790099499385036,,,5ns,T_pocket_plus_Theta_pocket,-1.4525620309905942,-1.9869365578809774,,,,,,,,
ATRF_ASPFU,76,-1.265418435450418,,,5ns,T_pocket_plus_Theta_pocket,-1.4704385474003712,-1.7968598778627254,,,,,,,,
CDR1_CANAR,76,-1.1876813056214868,,,5ns,T_pocket_plus_Theta_pocket,-1.347147051848145,-1.8127972802251027,,,,,,,,
CDR1_CANAR_auris,77,-1.3360637407643006,,,5ns,T_pocket_plus_Theta_pocket,-1.3295986222060237,-2.085312779422523,,,,,,,,
CDR2_CANAL,76,-1.0978900459822205,,,5ns,T_pocket_plus_Theta_pocket,-1.3697613543721912,-1.6377141756468356,,,,,,,,
CIMG_00533,75,-1.2421392571293322,,,5ns,T_pocket_plus_Theta_pocket,-1.5654892763896722,-1.7313232419097118,,,,,,,,
CIMG_00780,73,-1.3592340697520755,,,5ns,T_pocket_plus_Theta_pocket,-1.5607679565047385,-1.7023515888304508,,,,,,,,
CIMG_01418,76,-1.2893753839958504,,,5ns,T_pocket_plus_Theta_pocket,-1.7599665725848332,-1.5443989844464767,,,,,,,,
CIMG_06197,74,-1.3441617871441942,,,5ns,T_pocket_plus_Theta_pocket,-1.4897313092539854,-1.9728956132696958,,,,,,,,
CIMG_09093,76,-1.2304421707199356,,,5ns,T_pocket_plus_Theta_pocket,-1.5142622376704509,-1.7388206354860438,,,,,,,,
MDR1_CRYNH,79,-1.3389704159766807,,,5ns,T_pocket_plus_Theta_pocket,-1.5668943826773953,-1.865814163057375,,,,,,,,
MDR1_TRIRC,75,-1.2451201944318198,,,5ns,T_pocket_plus_Theta_pocket,-1.548677536909895,-1.744720685449427,,,,,,,,
MDR2_TRIRC,76,-1.17288741903622,,,5ns,T_pocket_plus_Theta_pocket,-1.4702784221815972,-1.7479292004795344,,,,,,,,
PDH1_CANGA,76,-1.2881261269988127,,,5ns,T_pocket_plus_Theta_pocket,-1.4643406615535022,-1.7883412635072087,,,,,,,,
PDR5_YEAST,78,-1.2922031022657636,,,5ns,T_pocket_plus_Theta_pocket,-1.52304640548212,-1.8449072873597077,,,,,,,,
SNQ2_CANGA,77,-1.2796361117756792,,,5ns,T_pocket_plus_Theta_pocket,-1.5341899495243818,-1.767866615373163,,,,,,,,
AFR1,75,-0.8606568228248609,,,10ns,T_whole_plus_Theta_whole,,,-1.010258244372395,-1.5089954426624208,,,,,,
ATRF_ASPFU,76,-0.8863155194928144,,,10ns,T_whole_plus_Theta_whole,,,-1.0363466798958418,-1.5657059932080755,,,,,,
CDR1_CANAR,76,-0.77096152962413,,,10ns,T_whole_plus_Theta_whole,,,-1.1338358017649037,-1.2648057205832126,,,,,,
CDR1_CANAR_auris,77,-0.7916727326369646,,,10ns,T_whole_plus_Theta_whole,,,-0.7589572118931837,-1.6254205484024802,,,,,,
CDR2_CANAL,76,-0.6506604505333778,,,10ns,T_whole_plus_Theta_whole,,,-0.8470135572544012,-1.3769277327328062,,,,,,
CIMG_00533,75,-0.8270495851944398,,,10ns,T_whole_plus_Theta_whole,,,-1.1070024226493955,-1.4743781474323403,,,,,,
CIMG_00780,73,-0.5917481909241098,,,10ns,T_whole_plus_Theta_whole,,,-0.7664052643189888,-1.1623375774050995,,,,,,
CIMG_01418,76,-0.7040400189252501,,,10ns,T_whole_plus_Theta_whole,,,-0.985833218444369,-1.3036074819712007,,,,,,
CIMG_06197,74,-0.7992919798091582,,,10ns,T_whole_plus_Theta_whole,,,-0.9351486382026497,-1.506785745239325,,,,,,
CIMG_09093,76,-0.7618646498571926,,,10ns,T_whole_plus_Theta_whole,,,-1.0245675815601685,-1.3927894159423444,,,,,,
MDR1_CRYNH,79,-0.8411329731617858,,,10ns,T_whole_plus_Theta_whole,,,-1.034111161522871,-1.5205006011956328,,,,,,
MDR1_TRIRC,75,-0.7513090375359858,,,10ns,T_whole_plus_Theta_whole,,,-0.9023812455763539,-1.461930837492003,,,,,,
MDR2_TRIRC,76,-0.6921215639247541,,,10ns,T_whole_plus_Theta_whole,,,-1.0144495315112794,-1.3087597696501718,,,,,,
PDH1_CANGA,76,-1.1854099610154147,,,10ns,T_whole_plus_Theta_whole,,,-1.3606575645449492,-1.854343587805867,,,,,,
PDR5_YEAST,78,-0.7983414474110927,,,10ns,T_whole_plus_Theta_whole,,,-1.0426041808659396,-1.4125063979101866,,,,,,
SNQ2_CANGA,77,-0.7694916028438447,,,10ns,T_whole_plus_Theta_whole,,,-0.9515039044014176,-1.4284310015362716,,,,,,
AFR1,75,-0.9163775447562257,,,10ns,T_pocket_plus_Theta_pocket,,,,,-1.0231278212234367,-1.5591852594868545,,,,
ATRF_ASPFU,76,-0.9427765889672746,,,10ns,T_pocket_plus_Theta_pocket,,,,,-0.9872948568700095,-1.6644193333533677,,,,
CDR1_CANAR,76,-0.8103066529507352,,,10ns,T_pocket_plus_Theta_pocket,,,,,-0.9990112809619113,-1.430722324947179,,,,
CDR1_CANAR_auris,77,-0.9124517651003058,,,10ns,T_pocket_plus_Theta_pocket,,,,,-0.8674534135143699,-1.6937346874218215,,,,
CDR2_CANAL,76,-0.7255724771558568,,,10ns,T_pocket_plus_Theta_pocket,,,,,-0.9180496013062797,-1.437395110208482,,,,
CIMG_00533,75,-0.8895867167520496,,,10ns,T_pocket_plus_Theta_pocket,,,,,-1.1567364279470878,-1.4913808205703127,,,,
CIMG_00780,73,-0.6871214238603595,,,10ns,T_pocket_plus_Theta_pocket,,,,,-0.8364163484654451,-1.2417113582591146,,,,
CIMG_01418,76,-0.7842997179424848,,,10ns,T_pocket_plus_Theta_pocket,,,,,-1.0876517959847989,-1.3160049379604921,,,,
CIMG_06197,74,-0.8912869111360386,,,10ns,T_pocket_plus_Theta_pocket,,,,,-0.9755313628448825,-1.5909958076825852,,,,
CIMG_09093,76,-0.8416568677207863,,,10ns,T_pocket_plus_Theta_pocket,,,,,-1.088339100760321,-1.4422803283098187,,,,
MDR1_CRYNH,79,-0.92266407125335,,,10ns,T_pocket_plus_Theta_pocket,,,,,-1.096857786767022,-1.5675057031472612,,,,
MDR1_TRIRC,75,-0.8362077869764074,,,10ns,T_pocket_plus_Theta_pocket,,,,,-0.9857714293276206,-1.506075938109,,,,
MDR2_TRIRC,76,-0.7730451783665645,,,10ns,T_pocket_plus_Theta_pocket,,,,,-1.0324338088295937,-1.4144042112401642,,,,
PDH1_CANGA,76,-1.2841833672696896,,,10ns,T_pocket_plus_Theta_pocket,,,,,-1.5038369750931677,-1.8417069689337997,,,,
PDR5_YEAST,78,-0.873114639637509,,,10ns,T_pocket_plus_Theta_pocket,,,,,-1.0806784330413435,-1.4759588574293678,,,,
SNQ2_CANGA,77,-0.8527265853517609,,,10ns,T_pocket_plus_Theta_pocket,,,,,-0.9969580124526353,-1.5064479400315487,,,,
AFR1,75,-0.9627136038646306,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.6729098451995906,-1.7694542374600941,,
ATRF_ASPFU,76,-1.0161972514188242,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.955227309642832,-1.7002565003314043,,
CDR1_CANAR,76,-0.9195376758432487,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.971033049978583,-1.5129745962450947,,
CDR1_CANAR_auris,77,-0.9503191458713366,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.9932664520454055,-1.5592827029052372,,
CDR2_CANAL,76,-0.7823361678691548,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.7857379066433414,-1.5671979475021869,,
CIMG_00533,75,-0.9772303321042812,,,20ns,T_whole_plus_Theta_whole,,,,,,,-1.0215778167108691,-1.6211607523165936,,
CIMG_00780,73,-0.7793135228399992,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.7743158345822008,-1.3520108301575826,,
CIMG_01418,76,-0.8260652369562764,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.8018609880556701,-1.5179948666701966,,
CIMG_06197,74,-0.9337670824706864,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.800080765360135,-1.6902583181649626,,
CIMG_09093,76,-0.9374136388117938,,,20ns,T_whole_plus_Theta_whole,,,,,,,-1.0550364890191364,-1.5176186705428794,,
MDR1_CRYNH,79,-0.9654918095376184,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.9341289635586854,-1.6516608106285966,,
MDR1_TRIRC,75,-0.8403150180947927,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.7914608203555701,-1.6115188118142694,,
MDR2_TRIRC,76,-0.8258128953344765,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.8299295083927566,-1.5372591231930408,,
PDH1_CANGA,76,-1.314879862432943,,,20ns,T_whole_plus_Theta_whole,,,,,,,-1.0553689657249126,-2.037408072250687,,
PDR5_YEAST,78,-0.9636665267238927,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.9512777671819164,-1.6111678314719373,,
SNQ2_CANGA,77,-0.9135043216171889,,,20ns,T_whole_plus_Theta_whole,,,,,,,-0.7864177126741841,-1.665969520144279,,
AFR1,75,-0.9950050969533722,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.6289164223530581,-1.8388721979225096
ATRF_ASPFU,76,-0.9404579397043065,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.6002935971380654,-1.8240003128794124
CDR1_CANAR,76,-0.8783930298320809,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.6166774891735594,-1.713971624669775
CDR1_CANAR_auris,77,-0.9237537268804116,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.7627035381929984,-1.6633196836842319
CDR2_CANAL,76,-0.7750910452961721,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.5626263841530696,-1.6901124658533442
CIMG_00533,75,-0.9339119855344611,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.7599028605627554,-1.735276483261344
CIMG_00780,73,-0.7808003255363227,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.541558633280788,-1.5066715139269624
CIMG_01418,76,-0.8248678424974489,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.5634670796740424,-1.662692403154665
CIMG_06197,74,-0.9407353323708731,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.6267352155451688,-1.8064744616042228
CIMG_09093,76,-0.8891000236520713,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.7686797859057494,-1.6439885779794912
MDR1_CRYNH,79,-0.9360272199095917,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.6953092636118694,-1.7614690092287122
MDR1_TRIRC,75,-0.8338877481812287,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.5682071087709897,-1.738317746678781
MDR2_TRIRC,76,-0.8371340049961037,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.5854723363960997,-1.7163729997203638
PDH1_CANGA,76,-1.312578293265086,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.8579721952886453,-2.156472676052672
PDR5_YEAST,78,-0.9219223014751294,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.6658690568671485,-1.7378862923457918
SNQ2_CANGA,77,-0.9334301512068377,,,20ns,T_pocket_plus_Theta_pocket,,,,,,,,,-0.6240583063458348,-1.7990096463536536
