metric_id,task,score_column,higher_score_means,n,n_proteins,n_retained,n_nonretained,auroc,ci_lo,ci_hi,ci_method,model,checkpoint,auroc_ci_lo,auroc_ci_hi,paired_diff_vs_rmsd,paired_diff_ci_lo,paired_diff_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,compute_saved_at_fsr10,achieved_false_stop_rate,decision_threshold,subset
rmsd_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.8189338235294118,0.7472712418300654,0.8804276237858327,"protein-clustered bootstrap, 5000 draws; fixed score",rmsd_only,5ns,0.7472712418300654,0.8804276237858327,0.0,0.0,0.0,0.7555147058823529,0.6257514437406855,0.8378825224071702,0.4808641975308642,0.058823529411764705,0.47400000000000003,
T_whole_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.7104779411764706,0.6206852343059239,0.8053357466063348,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_only,5ns,0.6206852343059239,0.8053357466063348,-0.10845588235294124,-0.18592572529192244,-0.02614064856711922,0.6479779411764706,0.5390602326907131,0.7396588164251207,0.32839506172839505,0.058823529411764705,0.41600000000000004,
Theta_whole_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.7840073529411765,0.6473214285714286,0.8941585500908678,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_whole_only,5ns,0.6473214285714286,0.8941585500908678,-0.03492647058823528,-0.13939697729171413,0.05113894628099171,0.7164522058823529,0.5696002363332857,0.8278688524590163,0.37530864197530867,0.058823529411764705,0.378,
T_pocket_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.7674632352941176,0.6868667810177244,0.8492078081232493,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_only,5ns,0.6868667810177244,0.8492078081232493,-0.05147058823529416,-0.12220313538582397,0.0075954742669534225,0.6773897058823529,0.5825347222222221,0.7848539695598519,0.32839506172839505,0.058823529411764705,0.426,
Theta_pocket_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.78125,0.6591943595620066,0.8888888888888888,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_only,5ns,0.6591943595620066,0.8888888888888888,-0.0376838235294118,-0.11764705882352933,0.03700277602080256,0.7164522058823529,0.5698370413739265,0.8257592407592407,0.3987654320987654,0.058823529411764705,0.41200000000000003,
T_whole_plus_Theta_whole,5ns,_proba,late retained,81,16.0,17.0,64.0,0.7867647058823529,0.6740274168399168,0.8817478354978354,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_plus_Theta_whole,5ns,0.6740274168399168,0.8817478354978354,-0.032169117647058876,-0.1036511988927543,0.02778110047846886,0.7614889705882353,0.6381345843422115,0.8560606060606061,0.3987654320987654,0.058823529411764705,0.36,
T_pocket_plus_Theta_pocket,5ns,_proba,late retained,81,16.0,17.0,64.0,0.7922794117647058,0.692560063952986,0.8818187471732248,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_plus_Theta_pocket,5ns,0.692560063952986,0.8818187471732248,-0.026654411764705954,-0.08081779331779328,0.025255270092226514,0.7104779411764706,0.5479166666666666,0.8197962952304209,0.4339506172839506,0.058823529411764705,0.39,
near_boundary_rmsd_only_5ns,,,,55,,,,0.8021978021978022,,,,rmsd_only,5ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_only_5ns,,,,55,,,,0.6208791208791209,,,,T_whole_only,5ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_whole_only_5ns,,,,55,,,,0.7435897435897436,,,,Theta_whole_only,5ns,,,,,,,,,,,,near_boundary
