metric_id,task,score_column,higher_score_means,n,n_proteins,n_retained,n_nonretained,auroc,ci_lo,ci_hi,ci_method,model,checkpoint,auroc_ci_lo,auroc_ci_hi,paired_diff_vs_rmsd,paired_diff_ci_lo,paired_diff_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,compute_saved_at_fsr10,achieved_false_stop_rate,decision_threshold,subset
rmsd_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.8189338235294118,0.7472712418300654,0.8804276237858327,"protein-clustered bootstrap, 5000 draws; fixed score",rmsd_only,5ns,0.7472712418300654,0.8804276237858327,0.0,0.0,0.0,0.7555147058823529,0.6257514437406855,0.8378825224071702,0.4808641975308642,0.058823529411764705,0.47400000000000003,
T_whole_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.7628676470588235,0.6828351432908099,0.8438953081232492,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_only,5ns,0.6828351432908099,0.8438953081232492,-0.056066176470588314,-0.13875930356193508,0.024502464667230318,0.6792279411764706,0.5624905303030303,0.7797312409812409,0.37530864197530867,0.058823529411764705,0.41600000000000004,
Theta_whole_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.8272058823529411,0.7113727612663321,0.9153847703464947,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_whole_only,5ns,0.7113727612663321,0.9153847703464947,0.008272058823529327,-0.08088494200497105,0.07676633865832243,0.7164522058823529,0.5804113792386104,0.8166666666666667,0.4104938271604938,0.058823529411764705,0.424,
T_pocket_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.8069852941176471,0.7303017883755589,0.8754213184476343,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_only,5ns,0.7303017883755589,0.8754213184476343,-0.011948529411764719,-0.09250465400350981,0.05454900568181815,0.7302389705882353,0.6388888888888888,0.8310810810810811,0.37530864197530867,0.058823529411764705,0.434,
Theta_pocket_only,5ns,_proba,late retained,81,16.0,17.0,64.0,0.8216911764705882,0.7166666666666667,0.9106249999999999,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_only,5ns,0.7166666666666667,0.9106249999999999,0.0027573529411764053,-0.07127584586466168,0.06612329296956351,0.7242647058823529,0.5896272689613618,0.8204600036743279,0.4222222222222222,0.058823529411764705,0.42,
T_whole_plus_Theta_whole,5ns,_proba,late retained,81,16.0,17.0,64.0,0.8428308823529411,0.7666477272727273,0.9038481620718463,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_plus_Theta_whole,5ns,0.7666477272727273,0.9038481620718463,0.023897058823529327,-0.014931026684758068,0.05434782608695643,0.7927389705882353,0.6775498570501464,0.8772091806220094,0.4691358024691358,0.058823529411764705,0.378,
T_pocket_plus_Theta_pocket,5ns,_proba,late retained,81,16.0,17.0,64.0,0.8446691176470589,0.7730788839451243,0.9059848484848485,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_plus_Theta_pocket,5ns,0.7730788839451243,0.9059848484848485,0.02573529411764708,-0.0067678140096618196,0.06172876872029408,0.7477022058823529,0.6189645574479966,0.833578641416343,0.4925925925925926,0.058823529411764705,0.436,
near_boundary_rmsd_only_5ns,,,,55,,,,0.8021978021978022,,,,rmsd_only,5ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_only_5ns,,,,55,,,,0.6959706959706959,,,,T_whole_only,5ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_whole_only_5ns,,,,55,,,,0.8113553113553114,,,,Theta_whole_only,5ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_only_5ns,,,,55,,,,0.7435897435897436,,,,T_pocket_only,5ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_pocket_only_5ns,,,,55,,,,0.8076923076923077,,,,Theta_pocket_only,5ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_plus_Theta_whole_5ns,,,,55,,,,0.8333333333333334,,,,T_whole_plus_Theta_whole,5ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_plus_Theta_pocket_5ns,,,,55,,,,0.826007326007326,,,,T_pocket_plus_Theta_pocket,5ns,,,,,,,,,,,,near_boundary
theta_pocket_6A,5ns,Theta_pocket_6A_mean_3_5,late non-retained,81,16.0,17.0,64.0,0.8226102941176471,0.718708145489561,0.9100887942896456,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_6A,5ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_8A,5ns,Theta_pocket_8A_mean_3_5,late non-retained,81,16.0,17.0,64.0,0.8235294117647058,0.7256254624491306,0.9079317919313588,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_8A,5ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_10A,5ns,Theta_pocket_10A_mean_3_5,late non-retained,81,16.0,17.0,64.0,0.8216911764705882,0.7211959805427548,0.9067621419676214,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_10A,5ns,,,,,,,,,,,,radius_sensitivity
rmsd_only,10ns,_proba,late retained,81,16.0,17.0,64.0,0.7950367647058824,0.6803840385518858,0.8798564326298701,"protein-clustered bootstrap, 5000 draws; fixed score",rmsd_only,10ns,0.6803840385518858,0.8798564326298701,0.0,0.0,0.0,0.7555147058823529,0.6171063990979244,0.8502915616721587,0.4111111111111111,0.058823529411764705,0.426,
