checkpoint,checkpoint_suffix,measurement,column,n,auroc,ci_lo,ci_hi,delta_vs_rmsd,delta_ci_lo,delta_ci_hi
5ns,3_5,Corrected RMSD,rmsd_mean_3_5_A,81,0.8207720588235294,0.7476921296296296,0.8842023647993796,,,
5ns,3_5,Translation T,T_mean_3_5_A,81,0.7647058823529411,0.6865649897366315,0.8494534632034632,0.056066176470588314,-0.0238169642857142,0.13654199206538656
5ns,3_5,Reorientation Theta,Theta_mean_3_5_rad,81,0.8272058823529411,0.7154862729005613,0.9132164042964428,-0.006433823529411686,-0.07427093596059114,0.08353303390321626
5ns,3_5,Internal deformation I,I_mean_3_5_A,81,0.5376838235294118,0.4103062589363959,0.7240782828282828,0.28308823529411764,0.13253959276018093,0.3827599676724137
10ns,8_10,Corrected RMSD,rmsd_mean_8_10_A,81,0.8014705882352942,0.6902471115711168,0.8835829327936588,,,
10ns,8_10,Translation T,T_mean_8_10_A,81,0.7261029411764706,0.5444681518440709,0.8380723596256684,0.0753676470588236,-0.002122239052074539,0.19999999999999996
10ns,8_10,Reorientation Theta,Theta_mean_8_10_rad,81,0.8060661764705882,0.6446151960784313,0.9161674118231494,-0.004595588235294046,-0.07533010801567203,0.09011520737327182
10ns,8_10,Internal deformation I,I_mean_8_10_A,81,0.5496323529411765,0.4259899475524475,0.7562001424501421,0.25183823529411764,-0.03143650793650798,0.4023033405172413
15ns,13_15,Corrected RMSD,rmsd_mean_13_15_A,81,0.8143382352941176,0.7069831378299121,0.886682697819684,,,
15ns,13_15,Translation T,T_mean_13_15_A,81,0.6966911764705882,0.5,0.8178116246498599,0.11764705882352944,0.03584568733153638,0.24144104460326912
15ns,13_15,Reorientation Theta,Theta_mean_13_15_rad,81,0.828125,0.6786819627644194,0.9292943017127799,-0.01378676470588236,-0.08619507875800776,0.07514917425303455
15ns,13_15,Internal deformation I,I_mean_13_15_A,81,0.5689338235294118,0.4181804891015417,0.7594164426523297,0.24540441176470584,-0.013132507365717357,0.4103207178393745
20ns,18_20,Corrected RMSD,rmsd_mean_18_20_A,81,0.8180147058823529,0.7311679122764028,0.8884322117276663,,,
20ns,18_20,Translation T,T_mean_18_20_A,81,0.7077205882352942,0.5233778301008327,0.8304920338782279,0.11029411764705876,0.0363236961451247,0.23098623034780957
20ns,18_20,Reorientation Theta,Theta_mean_18_20_rad,81,0.8483455882352942,0.7274993131868133,0.9342120706696319,-0.030330882352941235,-0.10694440404686764,0.06464935064935069
20ns,18_20,Internal deformation I,I_mean_18_20_A,81,0.5818014705882353,0.44243104757085017,0.7745484848484848,0.23621323529411764,0.0012384792626728765,0.38429556032939494
30ns,28_30,Corrected RMSD,rmsd_mean_28_30_A,81,0.8612132352941176,0.7681818181818182,0.9315745422561155,,,
30ns,28_30,Translation T,T_mean_28_30_A,81,0.7619485294117647,0.5786417748917749,0.8778559299895508,0.09926470588235292,0.024942022263450825,0.21753563044936275
30ns,28_30,Reorientation Theta,Theta_mean_28_30_rad,81,0.8584558823529411,0.7662912087912088,0.9317734708155649,0.0027573529411765163,-0.066953502415459,0.06763285024154597
30ns,28_30,Internal deformation I,I_mean_28_30_A,81,0.5891544117647058,0.44871700879765397,0.7865042470156106,0.2720588235294118,0.02638490437158472,0.445067684331797
50ns,48_50,Corrected RMSD,rmsd_mean_48_50_A,81,0.9172794117647058,0.85,0.9841285526068134,,,
50ns,48_50,Translation T,T_mean_48_50_A,81,0.8345588235294118,0.7151701877934272,0.9266575764259758,0.08272058823529405,0.013415423585702194,0.20120150661326366
50ns,48_50,Reorientation Theta,Theta_mean_48_50_rad,81,0.8584558823529411,0.7693708252531782,0.9374129796002099,0.05882352941176472,-0.0114041353383459,0.1470588235294118
50ns,48_50,Internal deformation I,I_mean_48_50_A,81,0.6580882352941176,0.5359984375,0.8502588028169015,0.2591911764705882,0.04629273504273503,0.3849225173005262
