model,held_out_protein,selected_configuration,inner_grouped_auroc,outer_train_n,feature_n
endpoint_logistic,AFR1,fixed,0.8066666666666666,75,2
endpoint_logistic,ATRF_ASPFU,fixed,0.809375,76,2
endpoint_logistic,CDR1_CANAR,fixed,0.8135416666666667,76,2
endpoint_logistic,CDR1_CANAR_auris,fixed,0.8155737704918032,77,2
endpoint_logistic,CDR2_CANAL,fixed,0.7946161515453639,76,2
endpoint_logistic,CIMG_00533,fixed,0.821501014198783,75,2
endpoint_logistic,CIMG_00780,fixed,0.7771260997067448,73,2
endpoint_logistic,CIMG_01418,fixed,0.796875,76,2
endpoint_logistic,CIMG_06197,fixed,0.8071120689655172,74,2
endpoint_logistic,CIMG_09093,fixed,0.810568295114656,76,2
endpoint_logistic,MDR1_CRYNH,fixed,0.8159392789373814,79,2
endpoint_logistic,MDR1_TRIRC,fixed,0.7961460446247465,75,2
endpoint_logistic,MDR2_TRIRC,fixed,0.7956131605184447,76,2
endpoint_logistic,PDH1_CANGA,fixed,0.8229508196721311,76,2
endpoint_logistic,PDR5_YEAST,fixed,0.810483870967742,78,2
endpoint_logistic,SNQ2_CANGA,fixed,0.8012295081967213,77,2
temporal_logistic,AFR1,C=3.0,0.8488888888888889,75,14
temporal_logistic,ATRF_ASPFU,C=0.1,0.8125,76,14
temporal_logistic,CDR1_CANAR,C=0.1,0.8218749999999999,76,14
temporal_logistic,CDR1_CANAR_auris,C=0.1,0.8104508196721312,77,14
temporal_logistic,CDR2_CANAL,C=0.03,0.806580259222333,76,14
temporal_logistic,CIMG_00533,C=0.1,0.8265720081135902,75,14
temporal_logistic,CIMG_00780,C=0.3,0.7976539589442815,73,14
temporal_logistic,CIMG_01418,C=0.03,0.8125,76,14
temporal_logistic,CIMG_06197,C=0.1,0.8168103448275863,74,14
temporal_logistic,CIMG_09093,C=0.1,0.8195413758723828,76,14
temporal_logistic,MDR1_CRYNH,C=0.03,0.8263757115749526,79,14
temporal_logistic,MDR1_TRIRC,C=0.1,0.7910750507099391,75,14
temporal_logistic,MDR2_TRIRC,C=0.03,0.7996011964107677,76,14
temporal_logistic,PDH1_CANGA,C=0.03,0.8316939890710383,76,14
temporal_logistic,PDR5_YEAST,C=0.03,0.814516129032258,78,14
temporal_logistic,SNQ2_CANGA,C=0.3,0.8104508196721311,77,14
endpoint_spline,AFR1,"knots=3,C=1.0",0.8144444444444445,75,2
endpoint_spline,ATRF_ASPFU,"knots=4,C=0.3",0.8010416666666667,76,2
endpoint_spline,CDR1_CANAR,"knots=3,C=0.03",0.8072916666666667,76,2
endpoint_spline,CDR1_CANAR_auris,"knots=4,C=0.03",0.8063524590163935,77,2
endpoint_spline,CDR2_CANAL,"knots=4,C=0.3",0.7946161515453639,76,2
endpoint_spline,CIMG_00533,"knots=3,C=1.0",0.8174442190669372,75,2
endpoint_spline,CIMG_00780,"knots=3,C=1.0",0.7609970674486803,73,2
endpoint_spline,CIMG_01418,"knots=4,C=0.3",0.7843749999999999,76,2
endpoint_spline,CIMG_06197,"knots=4,C=0.3",0.8006465517241379,74,2
endpoint_spline,CIMG_09093,"knots=3,C=0.3",0.8075772681954138,76,2
endpoint_spline,MDR1_CRYNH,"knots=4,C=0.3",0.8064516129032258,79,2
endpoint_spline,MDR1_TRIRC,"knots=3,C=0.3",0.7910750507099392,75,2
endpoint_spline,MDR2_TRIRC,"knots=4,C=0.3",0.7856430707876371,76,2
endpoint_spline,PDH1_CANGA,"knots=4,C=1.0",0.8185792349726776,76,2
endpoint_spline,PDR5_YEAST,"knots=4,C=0.3",0.8014112903225806,78,2
endpoint_spline,SNQ2_CANGA,"knots=3,C=1.0",0.7981557377049181,77,2
temporal_hist_gradient_boosting,AFR1,"leaf=2,l2=0.0",0.8227777777777778,75,14
temporal_hist_gradient_boosting,ATRF_ASPFU,"leaf=2,l2=0.0",0.7364583333333333,76,14
temporal_hist_gradient_boosting,CDR1_CANAR,"leaf=5,l2=0.0",0.6979166666666666,76,14
temporal_hist_gradient_boosting,CDR1_CANAR_auris,"leaf=2,l2=0.0",0.7459016393442623,77,14
temporal_hist_gradient_boosting,CDR2_CANAL,"leaf=5,l2=1.0",0.724825523429711,76,14
temporal_hist_gradient_boosting,CIMG_00533,"leaf=5,l2=0.0",0.7383367139959431,75,14
temporal_hist_gradient_boosting,CIMG_00780,"leaf=3,l2=0.0",0.7184750733137829,73,14
temporal_hist_gradient_boosting,CIMG_01418,"leaf=2,l2=0.0",0.7510416666666667,76,14
temporal_hist_gradient_boosting,CIMG_06197,"leaf=5,l2=1.0",0.728448275862069,74,14
temporal_hist_gradient_boosting,CIMG_09093,"leaf=5,l2=1.0",0.7417746759720838,76,14
temporal_hist_gradient_boosting,MDR1_CRYNH,"leaf=5,l2=1.0",0.7718216318785578,79,14
temporal_hist_gradient_boosting,MDR1_TRIRC,"leaf=3,l2=0.0",0.7418864097363084,75,14
temporal_hist_gradient_boosting,MDR2_TRIRC,"leaf=3,l2=1.0",0.7178464606181456,76,14
temporal_hist_gradient_boosting,PDH1_CANGA,"leaf=3,l2=1.0",0.7595628415300546,76,14
temporal_hist_gradient_boosting,PDR5_YEAST,"leaf=2,l2=0.0",0.7182459677419355,78,14
temporal_hist_gradient_boosting,SNQ2_CANGA,"leaf=2,l2=0.0",0.7540983606557378,77,14
temporal_random_forest,AFR1,"depth=2,leaf=3",0.7966666666666666,75,14
temporal_random_forest,ATRF_ASPFU,"depth=2,leaf=8",0.7625,76,14
temporal_random_forest,CDR1_CANAR,"depth=None,leaf=8",0.775,76,14
temporal_random_forest,CDR1_CANAR_auris,"depth=3,leaf=3",0.7653688524590164,77,14
temporal_random_forest,CDR2_CANAL,"depth=2,leaf=3",0.7487537387836491,76,14
temporal_random_forest,CIMG_00533,"depth=2,leaf=8",0.7758620689655171,75,14
temporal_random_forest,CIMG_00780,"depth=3,leaf=5",0.7404692082111437,73,14
temporal_random_forest,CIMG_01418,"depth=None,leaf=8",0.759375,76,14
temporal_random_forest,CIMG_06197,"depth=None,leaf=8",0.7877155172413792,74,14
temporal_random_forest,CIMG_09093,"depth=None,leaf=8",0.7647058823529412,76,14
temporal_random_forest,MDR1_CRYNH,"depth=None,leaf=8",0.7903225806451613,79,14
temporal_random_forest,MDR1_TRIRC,"depth=2,leaf=3",0.7636916835699797,75,14
temporal_random_forest,MDR2_TRIRC,"depth=3,leaf=8",0.7557328015952144,76,14
temporal_random_forest,PDH1_CANGA,"depth=2,leaf=3",0.7934426229508197,76,14
temporal_random_forest,PDR5_YEAST,"depth=2,leaf=8",0.7580645161290323,78,14
temporal_random_forest,SNQ2_CANGA,"depth=None,leaf=8",0.7735655737704918,77,14
