tau_rmsd,tau_com,theta_r,n_pocket_retained_perturbation,pct,n_distinct_proteins
2.0,3.0,0.5,49,80.3,15
2.0,3.0,0.6,39,63.9,15
2.0,3.0,0.6883,25,41.0,12
2.0,3.0,0.75,11,18.0,8
2.0,5.0,0.5,49,80.3,15
2.0,5.0,0.6,39,63.9,15
2.0,5.0,0.6883,25,41.0,12
2.0,5.0,0.75,11,18.0,8
2.0,7.0,0.5,49,80.3,15
2.0,7.0,0.6,39,63.9,15
2.0,7.0,0.6883,25,41.0,12
2.0,7.0,0.75,11,18.0,8
3.0,3.0,0.5,35,57.4,15
3.0,3.0,0.6,26,42.6,15
3.0,3.0,0.6883,17,27.9,10
3.0,3.0,0.75,6,9.8,5
3.0,5.0,0.5,35,57.4,15
3.0,5.0,0.6,26,42.6,15
3.0,5.0,0.6883,17,27.9,10
3.0,5.0,0.75,6,9.8,5
3.0,7.0,0.5,35,57.4,15
3.0,7.0,0.6,26,42.6,15
3.0,7.0,0.6883,17,27.9,10
3.0,7.0,0.75,6,9.8,5
4.0,3.0,0.5,23,37.7,13
4.0,3.0,0.6,15,24.6,11
4.0,3.0,0.6883,10,16.4,8
4.0,3.0,0.75,4,6.6,3
4.0,5.0,0.5,21,34.4,13
4.0,5.0,0.6,13,21.3,10
4.0,5.0,0.6883,9,14.8,8
4.0,5.0,0.75,3,4.9,3
4.0,7.0,0.5,21,34.4,13
4.0,7.0,0.6,13,21.3,10
4.0,7.0,0.6883,9,14.8,8
4.0,7.0,0.75,3,4.9,3
5.0,3.0,0.5,20,32.8,12
5.0,3.0,0.6,13,21.3,10
5.0,3.0,0.6883,9,14.8,7
5.0,3.0,0.75,4,6.6,3
5.0,5.0,0.5,11,18.0,9
5.0,5.0,0.6,6,9.8,6
5.0,5.0,0.6883,4,6.6,4
5.0,5.0,0.75,2,3.3,2
5.0,7.0,0.5,11,18.0,9
5.0,7.0,0.6,6,9.8,6
5.0,7.0,0.6883,4,6.6,4
5.0,7.0,0.75,2,3.3,2
