metric_id,task,score_column,higher_score_means,n,n_proteins,n_retained,n_nonretained,auroc,ci_lo,ci_hi,ci_method,excluded_protein
loo_excl_AFR1,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,51,14,12,39,0.8632478632478633,0.7457045570916538,0.957357634543179,"protein-clustered bootstrap, 5000 draws; fixed score",AFR1
loo_excl_ATRF_ASPFU,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,49,14,12,37,0.8558558558558559,0.7333333333333333,0.9532527937179099,"protein-clustered bootstrap, 5000 draws; fixed score",ATRF_ASPFU
loo_excl_CDR1_CANAR,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,48,14,12,36,0.8796296296296297,0.7666498316498317,0.9696969696969697,"protein-clustered bootstrap, 5000 draws; fixed score",CDR1_CANAR
loo_excl_CDR1_CANAR_auris,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,48,14,12,36,0.8726851851851852,0.7624912084398977,0.9713560267857142,"protein-clustered bootstrap, 5000 draws; fixed score",CDR1_CANAR_auris
loo_excl_CDR2_CANAL,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,49,14,13,36,0.8525641025641025,0.7444412878787879,0.9500213675213671,"protein-clustered bootstrap, 5000 draws; fixed score",CDR2_CANAL
loo_excl_CIMG_00533,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,46,14,13,33,0.8904428904428905,0.7738025210084034,0.9714285714285714,"protein-clustered bootstrap, 5000 draws; fixed score",CIMG_00533
loo_excl_CIMG_00780,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,45,14,7,38,0.8233082706766918,0.7244897959183674,0.9333333333333333,"protein-clustered bootstrap, 5000 draws; fixed score",CIMG_00780
loo_excl_CIMG_01418,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,50,14,13,37,0.8523908523908524,0.7392857142857143,0.94762987012987,"protein-clustered bootstrap, 5000 draws; fixed score",CIMG_01418
loo_excl_CIMG_09093,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,49,14,13,36,0.8525641025641025,0.7401249110953059,0.9497610294117645,"protein-clustered bootstrap, 5000 draws; fixed score",CIMG_09093
loo_excl_MDR1_CRYNH,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,51,14,13,38,0.8603238866396761,0.7530478251906824,0.952388996138996,"protein-clustered bootstrap, 5000 draws; fixed score",MDR1_CRYNH
loo_excl_MDR1_TRIRC,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,48,14,13,35,0.8483516483516483,0.7339897530630289,0.9472222222222222,"protein-clustered bootstrap, 5000 draws; fixed score",MDR1_TRIRC
loo_excl_MDR2_TRIRC,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,47,14,13,34,0.8416289592760181,0.7272727272727273,0.9401761517615175,"protein-clustered bootstrap, 5000 draws; fixed score",MDR2_TRIRC
loo_excl_PDH1_CANGA,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,49,14,12,37,0.8603603603603603,0.7395758928571429,0.9565239849083722,"protein-clustered bootstrap, 5000 draws; fixed score",PDH1_CANGA
loo_excl_PDR5_YEAST,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,50,14,12,38,0.8771929824561403,0.7550991336705621,0.9707491289198603,"protein-clustered bootstrap, 5000 draws; fixed score",PDR5_YEAST
loo_excl_SNQ2_CANGA,same trajectory,same_traj_pose_rmsd_18_20_A,late non-retained,48,14,12,36,0.8564814814814815,0.7341254578754578,0.9548431744614354,"protein-clustered bootstrap, 5000 draws; fixed score",SNQ2_CANGA
