probability_threshold_continue,n_stopped,n_continued,correct_stop_tn,false_stop_fn,correct_continue_tp,nonretained_continue_fp,false_stop_rate,nonretained_stop_rate,compute_saved_fraction
0.0,0,52,0,0,13,39,0.0,0.0,0.0
0.005,5,47,5,0,13,34,0.0,0.1282051282051282,0.07692307692307693
0.01,5,47,5,0,13,34,0.0,0.1282051282051282,0.07692307692307693
0.015,5,47,5,0,13,34,0.0,0.1282051282051282,0.07692307692307693
0.02,5,47,5,0,13,34,0.0,0.1282051282051282,0.07692307692307693
0.025,5,47,5,0,13,34,0.0,0.1282051282051282,0.07692307692307693
0.03,5,47,5,0,13,34,0.0,0.1282051282051282,0.07692307692307693
0.035,5,47,5,0,13,34,0.0,0.1282051282051282,0.07692307692307693
0.04,5,47,5,0,13,34,0.0,0.1282051282051282,0.07692307692307693
0.045,6,46,6,0,13,33,0.0,0.15384615384615385,0.09230769230769231
0.05,6,46,6,0,13,33,0.0,0.15384615384615385,0.09230769230769231
0.055,7,45,7,0,13,32,0.0,0.1794871794871795,0.1076923076923077
0.06,7,45,7,0,13,32,0.0,0.1794871794871795,0.1076923076923077
0.065,7,45,7,0,13,32,0.0,0.1794871794871795,0.1076923076923077
0.07,7,45,7,0,13,32,0.0,0.1794871794871795,0.1076923076923077
0.075,8,44,8,0,13,31,0.0,0.20512820512820512,0.12307692307692308
0.08,8,44,8,0,13,31,0.0,0.20512820512820512,0.12307692307692308
0.085,8,44,8,0,13,31,0.0,0.20512820512820512,0.12307692307692308
0.09,8,44,8,0,13,31,0.0,0.20512820512820512,0.12307692307692308
0.095,9,43,9,0,13,30,0.0,0.23076923076923078,0.13846153846153847
0.1,9,43,9,0,13,30,0.0,0.23076923076923078,0.13846153846153847
0.105,9,43,9,0,13,30,0.0,0.23076923076923078,0.13846153846153847
0.11,10,42,10,0,13,29,0.0,0.2564102564102564,0.15384615384615385
0.115,11,41,11,0,13,28,0.0,0.28205128205128205,0.16923076923076924
0.12,11,41,11,0,13,28,0.0,0.28205128205128205,0.16923076923076924
0.125,12,40,12,0,13,27,0.0,0.3076923076923077,0.18461538461538463
0.13,12,40,12,0,13,27,0.0,0.3076923076923077,0.18461538461538463
0.135,13,39,13,0,13,26,0.0,0.3333333333333333,0.2
0.14,13,39,13,0,13,26,0.0,0.3333333333333333,0.2
0.145,13,39,13,0,13,26,0.0,0.3333333333333333,0.2
0.15,13,39,13,0,13,26,0.0,0.3333333333333333,0.2
0.155,13,39,13,0,13,26,0.0,0.3333333333333333,0.2
0.16,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.165,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.17,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.17500000000000002,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.18,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.185,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.19,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.195,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
0.2,14,38,14,0,13,25,0.0,0.358974358974359,0.2153846153846154
