stage,definition,n_complexes,n_proteins,n_locked_labels_available,n_late_retained,n_late_nonretained
audit_universe,complete discovered separate-launch cohort,64,15,52,13,39
separate_launch_usable_20ns,separate-launch 18-20 ns pose and retention inputs usable,61,15,52,13,39
current_matched_cohort,membership in the legacy 59-row feature/outcome cohort,59,15,52,13,39
legacy_late_metrics,cached final-30%-of-available-frame metrics,59,15,52,13,39
locked_late_outcome,late metrics plus confirmed complete nominal 70-100 ns coverage,52,15,52,13,39
checkpoint_5ns_rmsd,locked late outcome plus corrected RMSD at 5 ns,52,15,52,13,39
checkpoint_5ns_pose_pair,locked late outcome plus corrected RMSD and centroid displacement at 5 ns,52,15,52,13,39
checkpoint_10ns_rmsd,locked late outcome plus corrected RMSD at 10 ns,52,15,52,13,39
checkpoint_10ns_pose_pair,locked late outcome plus corrected RMSD and centroid displacement at 10 ns,52,15,52,13,39
checkpoint_15ns_rmsd,locked late outcome plus corrected RMSD at 15 ns,52,15,52,13,39
checkpoint_15ns_pose_pair,locked late outcome plus corrected RMSD and centroid displacement at 15 ns,52,15,52,13,39
checkpoint_20ns_rmsd,locked late outcome plus corrected RMSD at 20 ns,52,15,52,13,39
checkpoint_20ns_pose_pair,locked late outcome plus corrected RMSD and centroid displacement at 20 ns,52,15,52,13,39
checkpoint_30ns_rmsd,locked late outcome plus corrected RMSD at 30 ns,52,15,52,13,39
checkpoint_30ns_pose_pair,locked late outcome plus corrected RMSD and centroid displacement at 30 ns,52,15,52,13,39
locked_checkpoint_common_cohort,locked late outcome plus corrected RMSD at every 5/10/15/20/30 ns checkpoint,52,15,52,13,39
locked_primary_pose_model_20ns,"locked late outcome plus corrected RMSD and centroid displacement over (18,20] ns",52,15,52,13,39
legacy_saved_model_predictions,rows carrying saved pred_pose_only from script 22,58,15,52,13,39
