complex_id,n_big,max_jump,20_to_100_class,protein_id
AFR1|Milbemycin|pocket10|replica_1,73,247.15861963181038,persistent_stable,AFR1
AFR1|Milbemycin|pocket11|replica_1,53,75.08965794245265,persistent_stable,AFR1
AFR1|Milbemycin|pocket2|replica_1,22,73.62393526677056,delayed_failure,AFR1
AFR1|Milbemycin|pocket3|replica_1,65,174.6704094438369,delayed_failure,AFR1
AFR1|Milbemycin|pocket8|replica_1,35,57.2626551560474,persistent_unstable,AFR1
AFR1|Milbemycin|pocket9|replica_1,35,176.94277526522103,persistent_stable,AFR1
ATRF_ASPFU|Milbemycin|pocket11|replica_1,55,235.66808219988403,persistent_unstable,ATRF_ASPFU
ATRF_ASPFU|Milbemycin|pocket13|replica_1,66,167.7125504783054,persistent_stable,ATRF_ASPFU
ATRF_ASPFU|Milbemycin|pocket1|replica_1,66,246.16941764197486,recovery,ATRF_ASPFU
ATRF_ASPFU|Milbemycin|pocket4|replica_1,65,175.31121318279966,persistent_stable,ATRF_ASPFU
ATRF_ASPFU|Milbemycin|pocket7|replica_1,73,171.5466735919361,persistent_unstable,ATRF_ASPFU
CDR1_CANAR_auris|Milbemycin|pocket10|replica_1,30,72.35101311135722,persistent_unstable,CDR1_CANAR_auris
CDR1_CANAR_auris|Milbemycin|pocket14|replica_1,36,135.9212101807924,delayed_failure,CDR1_CANAR_auris
CDR1_CANAR_auris|Milbemycin|pocket2|replica_1,96,260.61536892453523,persistent_unstable,CDR1_CANAR_auris
CDR1_CANAR|Milbemycin|pocket11|replica_1,107,161.1074672094866,persistent_stable,CDR1_CANAR
CDR1_CANAR|Milbemycin|pocket1|replica_1,67,161.42119470186486,recovery,CDR1_CANAR
CDR1_CANAR|Milbemycin|pocket2|replica_1,24,161.93447968137514,persistent_unstable,CDR1_CANAR
CDR1_CANAR|Milbemycin|pocket3|replica_1,48,226.60328852945977,recovery,CDR1_CANAR
CDR1_CANAR|Milbemycin|pocket9|replica_1,65,216.7711408594108,delayed_failure,CDR1_CANAR
CDR2_CANAL|Milbemycin|pocket12|replica_1,25,152.36012125246387,delayed_failure,CDR2_CANAL
CDR2_CANAL|Milbemycin|pocket14|replica_1,5,149.52040873608158,persistent_stable,CDR2_CANAL
CDR2_CANAL|Milbemycin|pocket1|replica_1,38,148.15123265598825,persistent_unstable,CDR2_CANAL
CDR2_CANAL|Milbemycin|pocket4|replica_1,38,151.62981838259023,persistent_unstable,CDR2_CANAL
CIMG_00533|Milbemycin|pocket12|replica_1,32,154.91524894386222,persistent_unstable,CIMG_00533
CIMG_00533|Milbemycin|pocket1|replica_1,78,218.3419884376428,persistent_unstable,CIMG_00533
CIMG_00533|Milbemycin|pocket2|replica_1,73,218.42530264106912,recovery,CIMG_00533
CIMG_00533|Milbemycin|pocket3|replica_1,61,153.09196727436364,delayed_failure,CIMG_00533
