complex_id,protein_id,20_to_100_class,terminal_anchor_retention,advance_label
CIMG_01418|Milbemycin|pocket3|replica_1,CIMG_01418,persistent_unstable,0.4318181818181818,0
MDR1_TRIRC|Milbemycin|pocket15|replica_1,MDR1_TRIRC,persistent_unstable,0.3057851239669421,0
SNQ2_CANGA|Milbemycin|pocket5|replica_1,SNQ2_CANGA,persistent_unstable,0.7151515151515152,0
PDR5_YEAST|Milbemycin|pocket15|replica_1,PDR5_YEAST,recovery,0.5668449197860963,1
PDR5_YEAST|Milbemycin|pocket9|replica_1,PDR5_YEAST,persistent_unstable,0.7167832167832169,0
AFR1|Milbemycin|pocket8|replica_1,AFR1,persistent_unstable,0.6324110671936759,0
ATRF_ASPFU|Milbemycin|pocket1|replica_1,ATRF_ASPFU,recovery,0.8690909090909091,1
ATRF_ASPFU|Milbemycin|pocket11|replica_1,ATRF_ASPFU,persistent_unstable,0.5056818181818182,0
CDR1_CANAR|Milbemycin|pocket1|replica_1,CDR1_CANAR,recovery,0.709090909090909,1
CDR2_CANAL|Milbemycin|pocket1|replica_1,CDR2_CANAL,persistent_unstable,0.1212121212121212,0
CDR1_CANAR_auris|Milbemycin|pocket10|replica_1,CDR1_CANAR_auris,persistent_unstable,0.3246753246753247,0
CIMG_00780|Milbemycin|pocket2|replica_1,CIMG_00780,persistent_unstable,0.6713286713286714,0
CIMG_00533|Milbemycin|pocket1|replica_1,CIMG_00533,persistent_unstable,0.625668449197861,0
CDR1_CANAR|Milbemycin|pocket2|replica_1,CDR1_CANAR,persistent_unstable,0.6993006993006993,0
CDR1_CANAR|Milbemycin|pocket3|replica_1,CDR1_CANAR,recovery,0.6198347107438017,1
CDR2_CANAL|Milbemycin|pocket4|replica_1,CDR2_CANAL,persistent_unstable,0.4782608695652175,0
CIMG_00780|Milbemycin|pocket9|replica_1,CIMG_00780,persistent_unstable,0.7912457912457913,0
CIMG_01418|Milbemycin|pocket15|replica_1,CIMG_01418,persistent_unstable,0.3982683982683982,0
CIMG_06197|Milbemycin|pocket1|replica_1,CIMG_06197,persistent_unstable,0.7445887445887446,0
CIMG_06197|Milbemycin|pocket3|replica_1,CIMG_06197,recovery,0.6883116883116883,1
CIMG_09093|Milbemycin|pocket1|replica_1,CIMG_09093,persistent_unstable,0.5303030303030304,0
PDH1_CANGA|Milbemycin|pocket12|replica_1,PDH1_CANGA,persistent_unstable,0.7727272727272727,0
MDR1_TRIRC|Milbemycin|pocket4|replica_1,MDR1_TRIRC,persistent_unstable,0.740909090909091,0
MDR1_TRIRC|Milbemycin|pocket7|replica_1,MDR1_TRIRC,recovery,0.7177033492822965,1
MDR2_TRIRC|Milbemycin|pocket10|replica_1,MDR2_TRIRC,persistent_unstable,0.6666666666666667,0
MDR2_TRIRC|Milbemycin|pocket14|replica_1,MDR2_TRIRC,persistent_unstable,0.5454545454545453,0
MDR2_TRIRC|Milbemycin|pocket9|replica_1,MDR2_TRIRC,persistent_unstable,0.5454545454545455,0
ATRF_ASPFU|Milbemycin|pocket7|replica_1,ATRF_ASPFU,persistent_unstable,0.6948051948051949,0
CIMG_00780|Milbemycin|pocket1|replica_1,CIMG_00780,recovery,0.7272727272727273,1
CIMG_00780|Milbemycin|pocket7|replica_1,CIMG_00780,persistent_unstable,0.7037037037037037,0
CIMG_00533|Milbemycin|pocket12|replica_1,CIMG_00533,persistent_unstable,0.4782608695652174,0
CIMG_00533|Milbemycin|pocket2|replica_1,CIMG_00533,recovery,0.8421052631578948,1
CIMG_00533|Milbemycin|pocket9|replica_1,CIMG_00533,persistent_unstable,0.5991735537190082,0
CDR1_CANAR_auris|Milbemycin|pocket2|replica_1,CDR1_CANAR_auris,persistent_unstable,0.5867768595041322,0
CIMG_06197|Milbemycin|pocket14|replica_1,CIMG_06197,persistent_unstable,0.6618181818181817,0
MDR1_CRYNH|Milbemycin|pocket12|replica_1,MDR1_CRYNH,recovery,0.6909090909090908,1
MDR1_TRIRC|Milbemycin|pocket11|replica_1,MDR1_TRIRC,persistent_unstable,0.1558441558441558,0
MDR1_TRIRC|Milbemycin|pocket8|replica_1,MDR1_TRIRC,persistent_unstable,0.5189393939393938,0
PDR5_YEAST|Milbemycin|pocket14|replica_1,PDR5_YEAST,recovery,0.7863636363636364,1
SNQ2_CANGA|Milbemycin|pocket9|replica_1,SNQ2_CANGA,persistent_unstable,0.6713286713286715,0
MDR2_TRIRC|Milbemycin|pocket15|replica_1,MDR2_TRIRC,persistent_unstable,0.6083916083916084,0
PDH1_CANGA|Milbemycin|pocket2|replica_1,PDH1_CANGA,recovery,0.7306397306397305,1
