complex_id,cls,n_frames,B_AC_full,B_DC_full,B_TE_full,B_DE_full,B_AC_pre20,B_DC_pre20,B_TE_pre20,B_DE_pre20,B_AC_post20,B_DC_post20,B_TE_post20,B_DE_post20,P_DC_AC,P_DC_DE,P_DC_TE,P_TE_AC,P_TE_DE,P_TE_DC,P_AC_DC,P_AC_TE,P_DE_AC,n_DC_frames,n_TE_frames,DCDE_post20
AFR1|Milbemycin|pocket10|replica_1,persistent_stable,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0,0.0
AFR1|Milbemycin|pocket11|replica_1,persistent_stable,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0,0.0
AFR1|Milbemycin|pocket2|replica_1,delayed_failure,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0,0.0
AFR1|Milbemycin|pocket3|replica_1,delayed_failure,500,0.712,0.072,0.192,0.024,0.8383838383838383,0.16161616161616163,0.0,0.0,0.6807980049875312,0.04987531172069826,0.23940149625935161,0.029925187032418952,0.6666666666666666,0.0,0.0,0.16666666666666666,0.09375,0.0,0.0676056338028169,0.04788732394366197,0.08333333333333333,36,96,0.0798004987531172
AFR1|Milbemycin|pocket8|replica_1,persistent_unstable,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0,0.0
AFR1|Milbemycin|pocket9|replica_1,persistent_stable,244,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0,0.0
ATRF_ASPFU|Milbemycin|pocket11|replica_1,persistent_unstable,500,0.224,0.0,0.582,0.194,0.7171717171717171,0.0,0.25252525252525254,0.030303030303030304,0.10224438902743142,0.0,0.6633416458852868,0.2344139650872818,,,,0.10344827586206896,0.19310344827586207,0.0,0.0,0.26785714285714285,0.030927835051546393,0,290,0.2344139650872818
ATRF_ASPFU|Milbemycin|pocket13|replica_1,persistent_stable,500,0.898,0.084,0.002,0.016,0.9797979797979798,0.020202020202020204,0.0,0.0,0.8778054862842892,0.09975062344139651,0.0024937655860349127,0.0199501246882793,0.30952380952380953,0.09523809523809523,0.0,0.0,1.0,0.0,0.026785714285714284,0.002232142857142857,0.25,42,1,0.11970074812967582
ATRF_ASPFU|Milbemycin|pocket1|replica_1,recovery,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0,0.0
ATRF_ASPFU|Milbemycin|pocket4|replica_1,persistent_stable,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0,0.0
ATRF_ASPFU|Milbemycin|pocket7|replica_1,persistent_unstable,500,0.242,0.0,0.29,0.468,0.98989898989899,0.0,0.0,0.010101010101010102,0.057356608478802994,0.0,0.36159600997506236,0.5810473815461347,,,,0.013793103448275862,0.5793103448275863,0.0,0.0,0.008264462809917356,0.012875536480686695,0,145,0.5810473815461347
CDR1_CANAR_auris|Milbemycin|pocket10|replica_1,persistent_unstable,500,0.02,0.046,0.0,0.934,0.10101010101010101,0.1919191919191919,0.0,0.7070707070707071,0.0,0.00997506234413965,0.0,0.9900249376558603,0.043478260869565216,0.5652173913043478,0.0,,,,0.2,0.0,0.0,23,0,1.0
CDR1_CANAR_auris|Milbemycin|pocket14|replica_1,delayed_failure,500,0.512,0.182,0.056,0.25,0.6464646464646465,0.2222222222222222,0.0,0.13131313131313133,0.47880299251870323,0.17206982543640897,0.06982543640897755,0.2793017456359102,0.4065934065934066,0.23076923076923078,0.02197802197802198,0.07142857142857142,0.5357142857142857,0.14285714285714285,0.14901960784313725,0.00784313725490196,0.072,91,28,0.4513715710723192
CDR1_CANAR_auris|Milbemycin|pocket2|replica_1,persistent_unstable,500,0.638,0.01,0.026,0.326,1.0,0.0,0.0,0.0,0.5486284289276808,0.012468827930174564,0.032418952618453865,0.40648379052369077,0.8,0.2,0.0,0.07692307692307693,0.3076923076923077,0.0,0.01567398119122257,0.003134796238244514,0.006172839506172839,5,13,0.41895261845386533
CDR1_CANAR|Milbemycin|pocket11|replica_1,persistent_stable,500,0.272,0.728,0.0,0.0,0.8282828282828283,0.1717171717171717,0.0,0.0,0.13466334164588528,0.8653366583541147,0.0,0.0,0.12672176308539945,0.0,0.0,,,,0.34558823529411764,0.0,,363,0,0.8653366583541147
CDR1_CANAR|Milbemycin|pocket1|replica_1,recovery,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0,0.0
CDR1_CANAR|Milbemycin|pocket2|replica_1,persistent_unstable,500,0.964,0.036,0.0,0.0,1.0,0.0,0.0,0.0,0.9551122194513716,0.04488778054862843,0.0,0.0,0.9444444444444444,0.0,0.0,,,,0.035343035343035345,0.0,,18,0,0.04488778054862843
CDR1_CANAR|Milbemycin|pocket3|replica_1,recovery,500,0.998,0.002,0.0,0.0,0.98989898989899,0.010101010101010102,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.002008032128514056,0.0,,1,0,0.0
CDR1_CANAR|Milbemycin|pocket9|replica_1,delayed_failure,500,0.618,0.228,0.038,0.116,0.7070707070707071,0.2727272727272727,0.0,0.020202020202020204,0.5960099750623441,0.2169576059850374,0.04738154613466334,0.1396508728179551,0.32456140350877194,0.07017543859649122,0.008771929824561403,0.2777777777777778,0.2777777777777778,0.0,0.12297734627831715,0.016181229773462782,0.034482758620689655,114,18,0.3566084788029925
CDR2_CANAL|Milbemycin|pocket12|replica_1,delayed_failure,500,0.096,0.004,0.016,0.884,0.48484848484848486,0.020202020202020204,0.08080808080808081,0.41414141414141414,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.375,0.5,0.0,0.041666666666666664,0.0625,0.0,2,8,1.0
