complex_id,cls,n_frames,B_AC_full,B_DC_full,B_TE_full,B_DE_full,B_AC_pre20,B_DC_pre20,B_TE_pre20,B_DE_pre20,B_AC_post20,B_DC_post20,B_TE_post20,B_DE_post20,P_DC_AC,P_DC_DE,P_DC_TE,P_TE_AC,P_TE_DE,P_TE_DC,P_AC_DC,P_AC_TE,P_DE_AC,n_DC_frames,n_TE_frames
AFR1|Milbemycin|pocket10|replica_1,persistent_stable,500,0.548,0.0,0.452,0.0,1.0,0.0,0.0,0.0,0.43640897755610975,0.0,0.5635910224438903,0.0,,,,0.07964601769911504,0.0,0.0,0.0,0.06593406593406594,,0,226
AFR1|Milbemycin|pocket11|replica_1,persistent_stable,500,0.914,0.0,0.086,0.0,0.5858585858585859,0.0,0.41414141414141414,0.0,0.9950124688279302,0.0,0.004987531172069825,0.0,,,,0.13953488372093023,0.0,0.0,0.0,0.013157894736842105,,0,43
AFR1|Milbemycin|pocket2|replica_1,delayed_failure,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0
AFR1|Milbemycin|pocket3|replica_1,delayed_failure,500,0.904,0.096,0.0,0.0,0.8383838383838383,0.16161616161616163,0.0,0.0,0.9201995012468828,0.0798004987531172,0.0,0.0,0.6875,0.0,0.0,,,,0.07317073170731707,0.0,,48,0
AFR1|Milbemycin|pocket8|replica_1,persistent_unstable,500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0,0
AFR1|Milbemycin|pocket9|replica_1,persistent_stable,244,0.29508196721311475,0.0,0.7049180327868853,0.0,0.46464646464646464,0.0,0.5353535353535354,0.0,0.1793103448275862,0.0,0.8206896551724138,0.0,,,,0.07602339181286549,0.0,0.0,0.0,0.19444444444444445,,0,171
ATRF_ASPFU|Milbemycin|pocket11|replica_1,persistent_unstable,500,0.612,0.186,0.194,0.008,0.1717171717171717,0.030303030303030304,0.797979797979798,0.0,0.7206982543640897,0.22443890274314215,0.04488778054862843,0.00997506234413965,0.6129032258064516,0.0,0.021505376344086023,0.061855670103092786,0.010309278350515464,0.020618556701030927,0.18688524590163935,0.019672131147540985,0.0,93,97
ATRF_ASPFU|Milbemycin|pocket13|replica_1,persistent_stable,500,0.108,0.016,0.792,0.084,0.12121212121212122,0.0,0.8585858585858586,0.020202020202020204,0.10473815461346633,0.0199501246882793,0.7755610972568578,0.09975062344139651,0.25,0.125,0.125,0.030379746835443037,0.030379746835443037,0.002531645569620253,0.037037037037037035,0.24074074074074073,0.0,8,395
ATRF_ASPFU|Milbemycin|pocket1|replica_1,recovery,500,0.9,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.8753117206982544,0.0,0.12468827930174564,0.0,,,,0.22,0.0,0.0,0.0,0.024498886414253896,,0,50
ATRF_ASPFU|Milbemycin|pocket4|replica_1,persistent_stable,500,0.954,0.0,0.046,0.0,0.7676767676767676,0.0,0.23232323232323232,0.0,1.0,0.0,0.0,0.0,,,,0.17391304347826086,0.0,0.0,0.0,0.008403361344537815,,0,23
ATRF_ASPFU|Milbemycin|pocket7|replica_1,persistent_unstable,500,0.53,0.466,0.002,0.002,0.9797979797979798,0.010101010101010102,0.010101010101010102,0.0,0.41895261845386533,0.5785536159600998,0.0,0.0024937655860349127,0.3793103448275862,0.0,0.0,1.0,0.0,0.0,0.3320754716981132,0.0037735849056603774,0.0,232,1
